보험회사명,상품명,유지기간,납입보험료,계약자적립액,적립률,해약환급금,계약자적립액_1,적립률_1,해약환급금_1,최저보증이율,현재공시이율,평균공시이율,확정이율,사업비율,위험보장,확정이율_1,현재공시이율_1,최저보증이율_1,가입유형,유니버셜여부,납입방법,판매채널,판매일자,특이사항,대표번호
교보생명,교보청년저축보험(무배당),5.0,"18,000,000 원","19,638,561 원",109.10 %,"19,638,561 원","19,638,840 원",109.10 %,"19,638,840 원",9.10 %,9.10 %,9.10 %,-,3.94 %,0.0036 %,-,2.35 %,5년이상 10년미만 : 1.0%,적립,비유니버셜,월납,대면채널,2025-03-26,"■필수기재사항 1.가입나이 : 만19세 ~ 최고 29세 2.보험기간 : 10년 만기 3.해약환급금 예시 : 24세, 10년만기, 5년납, 월납보험료 30만원, 공시이율 2.35% 기준 ■선택기재사항 1. 5년납 2. 계약자적립액 예시 - 자립지원보너스 기시 발생 시점 기준 3. 상품요약서 계약자적립액 예시 - 자립지원보너스 기시 미발생 시점 기준",1588-1001
교보생명,교보청년저축보험(무배당),7.0,"18,000,000 원","20,921,167 원",116.23 %,"20,921,167 원","20,921,578 원",116.23 %,"20,921,578 원",13.18 %,16.23 %,17.14 %,-,4.27 %,0.0052 %,-,2.35 %,5년이상 10년미만 : 1.0%,적립,비유니버셜,월납,대면채널,2025-03-26,"■필수기재사항 1.가입나이 : 만19세 ~ 최고 29세 2.보험기간 : 10년 만기 3.해약환급금 예시 : 24세, 10년만기, 5년납, 월납보험료 30만원, 공시이율 2.35% 기준 ■선택기재사항 1. 5년납 2. 계약자적립액 예시 - 자립지원보너스 기시 발생 시점 기준 3. 상품요약서 계약자적립액 예시 - 자립지원보너스 기시 미발생 시점 기준",1588-1001
교보생명,교보청년저축보험(무배당),10.0,"18,000,000 원","22,995,017 원",127.75 %,"22,995,017 원","22,995,699 원",127.75 %,"22,995,699 원",19.52 %,27.75 %,30.27 %,-,4.77 %,0.0082 %,-,2.35 %,5년이상 10년미만 : 1.0%,적립,비유니버셜,월납,대면채널,2025-03-26,"■필수기재사항 1.가입나이 : 만19세 ~ 최고 29세 2.보험기간 : 10년 만기 3.해약환급금 예시 : 24세, 10년만기, 5년납, 월납보험료 30만원, 공시이율 2.35% 기준 ■선택기재사항 1. 5년납 2. 계약자적립액 예시 - 자립지원보너스 기시 발생 시점 기준 3. 상품요약서 계약자적립액 예시 - 자립지원보너스 기시 미발생 시점 기준",1588-1001
교보생명,교보e청년저축보험(무배당),1.0,"3,600,000 원","3,650,972 원",101.42 %,"3,650,972 원","3,650,987 원",101.42 %,"3,650,987 원",1.42 %,1.42 %,1.42 %,-,1.25 %,0.0030 %,-,2.35 %,5년이상 10년미만 : 1.0%,적립,비유니버셜,월납,CM,2025-03-26,"■필수기재사항 1.가입나이 : 만19세 ~ 최고 29세 2.보험기간 : 10년 만기 3.해약환급금 예시 : 24세, 10년만기, 5년납, 월납보험료 30만원, 공시이율 2.35% 기준 ■선택기재사항 1. 5년납 2. 계약자적립액 예시 - 자립지원보너스 기시 발생 시점 기준 3. 상품요약서 계약자적립액 예시 - 자립지원보너스 기시 미발생 시점 기준",1588-1001
교보생명,교보e청년저축보험(무배당),3.0,"10,800,000 원","11,269,153 원",104.34 %,"11,269,153 원","11,269,269 원",104.35 %,"11,269,269 원",4.34 %,4.34 %,4.34 %,-,3.36 %,0.0033 %,-,2.35 %,5년이상 10년미만 : 1.0%,적립,비유니버셜,월납,CM,2025-03-26,"■필수기재사항 1.가입나이 : 만19세 ~ 최고 29세 2.보험기간 : 10년 만기 3.해약환급금 예시 : 24세, 10년만기, 5년납, 월납보험료 30만원, 공시이율 2.35% 기준 ■선택기재사항 1. 5년납 2. 계약자적립액 예시 - 자립지원보너스 기시 발생 시점 기준 3. 상품요약서 계약자적립액 예시 - 자립지원보너스 기시 미발생 시점 기준",1588-1001
교보생명,교보e청년저축보험(무배당),5.0,"18,000,000 원","19,638,561 원",109.10 %,"19,638,561 원","19,638,840 원",109.10 %,"19,638,840 원",9.10 %,9.10 %,9.10 %,-,3.94 %,0.0036 %,-,2.35 %,5년이상 10년미만 : 1.0%,적립,비유니버셜,월납,CM,2025-03-26,"■필수기재사항 1.가입나이 : 만19세 ~ 최고 29세 2.보험기간 : 10년 만기 3.해약환급금 예시 : 24세, 10년만기, 5년납, 월납보험료 30만원, 공시이율 2.35% 기준 ■선택기재사항 1. 5년납 2. 계약자적립액 예시 - 자립지원보너스 기시 발생 시점 기준 3. 상품요약서 계약자적립액 예시 - 자립지원보너스 기시 미발생 시점 기준",1588-1001
교보생명,교보e청년저축보험(무배당),7.0,"18,000,000 원","20,921,167 원",116.23 %,"20,921,167 원","20,921,578 원",116.23 %,"20,921,578 원",13.18 %,16.23 %,17.14 %,-,4.27 %,0.0052 %,-,2.35 %,5년이상 10년미만 : 1.0%,적립,비유니버셜,월납,CM,2025-03-26,"■필수기재사항 1.가입나이 : 만19세 ~ 최고 29세 2.보험기간 : 10년 만기 3.해약환급금 예시 : 24세, 10년만기, 5년납, 월납보험료 30만원, 공시이율 2.35% 기준 ■선택기재사항 1. 5년납 2. 계약자적립액 예시 - 자립지원보너스 기시 발생 시점 기준 3. 상품요약서 계약자적립액 예시 - 자립지원보너스 기시 미발생 시점 기준",1588-1001
교보생명,교보e청년저축보험(무배당),10.0,"18,000,000 원","22,995,017 원",127.75 %,"22,995,017 원","22,995,699 원",127.75 %,"22,995,699 원",19.52 %,27.75 %,30.27 %,-,4.77 %,0.0082 %,-,2.35 %,5년이상 10년미만 : 1.0%,적립,비유니버셜,월납,CM,2025-03-26,"■필수기재사항 1.가입나이 : 만19세 ~ 최고 29세 2.보험기간 : 10년 만기 3.해약환급금 예시 : 24세, 10년만기, 5년납, 월납보험료 30만원, 공시이율 2.35% 기준 ■선택기재사항 1. 5년납 2. 계약자적립액 예시 - 자립지원보너스 기시 발생 시점 기준 3. 상품요약서 계약자적립액 예시 - 자립지원보너스 기시 미발생 시점 기준",1588-1001
KDB생명,(무)KDB플러스저축보험,1.0,"50,000,000 원","49,748,152 원",99.50 %,"49,748,152 원","49,755,431 원",99.51 %,"49,755,431 원",-1.53 %,-0.50 %,0.18 %,-,2.49 %,0.0264 %,-,2.05 %,"계약 후 10년이하는 연복리 1.0%, 10년초과는 연복리 0.5%",거치,비유니버셜,일시납,대면채널  TM,2024-04-01,"1. 보험종목: 수익형(거치형) 2. 가입나이: 만15세 ~ 최대 70세 3. 보험기간: 10년, 20년만기 4. 납입기간: 일시납 5. 해약환급금 예시기준: 수익형(거치형), 55세, 기본보험료 5천만원, 10년만기, 일시납",1588-4040
KDB생명,(무)KDB플러스저축보험,3.0,"50,000,000 원","50,893,253 원",101.79 %,"50,893,253 원","50,916,756 원",101.83 %,"50,916,756 원",-1.36 %,1.79 %,3.92 %,-,4.22 %,0.0840 %,-,2.05 %,"계약 후 10년이하는 연복리 1.0%, 10년초과는 연복리 0.5%",거치,비유니버셜,일시납,대면채널  TM,2024-04-01,"1. 보험종목: 수익형(거치형) 2. 가입나이: 만15세 ~ 최대 70세 3. 보험기간: 10년, 20년만기 4. 납입기간: 일시납 5. 해약환급금 예시기준: 수익형(거치형), 55세, 기본보험료 5천만원, 10년만기, 일시납",1588-4040
KDB생명,(무)KDB플러스저축보험,5.0,"50,000,000 원","52,107,727 원",104.22 %,"52,107,727 원","52,152,422 원",104.30 %,"52,152,422 원",-1.15 %,4.22 %,7.92 %,-,5.90 %,0.1536 %,-,2.05 %,"계약 후 10년이하는 연복리 1.0%, 10년초과는 연복리 0.5%",거치,비유니버셜,일시납,대면채널  TM,2024-04-01,"1. 보험종목: 수익형(거치형) 2. 가입나이: 만15세 ~ 최대 70세 3. 보험기간: 10년, 20년만기 4. 납입기간: 일시납 5. 해약환급금 예시기준: 수익형(거치형), 55세, 기본보험료 5천만원, 10년만기, 일시납",1588-4040
KDB생명,(무)KDB플러스저축보험,7.0,"50,000,000 원","53,364,544 원",106.73 %,"53,364,544 원","53,438,043 원",106.88 %,"53,438,043 원",-0.95 %,6.73 %,12.12 %,-,7.58 %,0.2388 %,-,2.05 %,"계약 후 10년이하는 연복리 1.0%, 10년초과는 연복리 0.5%",거치,비유니버셜,일시납,대면채널  TM,2024-04-01,"1. 보험종목: 수익형(거치형) 2. 가입나이: 만15세 ~ 최대 70세 3. 보험기간: 10년, 20년만기 4. 납입기간: 일시납 5. 해약환급금 예시기준: 수익형(거치형), 55세, 기본보험료 5천만원, 10년만기, 일시납",1588-4040
KDB생명,(무)KDB플러스저축보험,10.0,"50,000,000 원","55,328,641 원",110.66 %,"55,328,641 원","55,460,546 원",110.92 %,"55,460,546 원",-0.67 %,10.66 %,18.82 %,-,10.10 %,0.4044 %,-,2.05 %,"계약 후 10년이하는 연복리 1.0%, 10년초과는 연복리 0.5%",거치,비유니버셜,일시납,대면채널  TM,2024-04-01,"1. 보험종목: 수익형(거치형) 2. 가입나이: 만15세 ~ 최대 70세 3. 보험기간: 10년, 20년만기 4. 납입기간: 일시납 5. 해약환급금 예시기준: 수익형(거치형), 55세, 기본보험료 5천만원, 10년만기, 일시납",1588-4040
KDB생명,(무)챌린지 미니저축보험,1.0,"1,200,000 원","1,233,425 원",102.79 %,"1,233,425 원","1,233,445 원",102.79 %,"1,233,445 원",-,-,-,2.79 %,0.44 %,0.0060 %,3.50 %,-,-,적립,비유니버셜,전기납,CM,2024-04-01,"1. 보험종목: 만기환급형 2. 가입나이: 20세 ~ 60세 3. 보험기간: 1년 만기 4. 납입기간: 전기납 5. 납입주기: 월납 6. 해약환급금 예시기준: 40세, 1년만기, 전기납, 월납, 기본보험료 10만원 7. 확정이율 특이사항: 계약후 6개월이하는 연복리 3.5%, 6개월초과는 연복리 7.0%",1588-4040
DB생명,(무)e로운 DB저축보험(2404),1.0,"3,600,000 원","3,607,689 원",100.21 %,"3,607,689 원","3,607,762 원",100.22 %,"3,607,762 원",-0.48 %,0.21 %,0.45 %,-,2.30 %,0.0060 %,-,2.30 %,1.0%(10년초과 0.5%),적립,비유니버셜,월납,CM,2024-04-01,"1. 보험기간: 5,10년만기 2. 가입연령: 만19 ~ 최고60세 3. 해약환급금 예시 기준: 40세, 10년만기, 전기납, 월납보험료 30만원, 적용이율 2.30% 기준",1588-3131
DB생명,(무)e로운 DB저축보험(2404),3.0,"10,800,000 원","10,979,001 원",101.66 %,"10,979,001 원","10,979,249 원",101.66 %,"10,979,249 원",-0.35 %,1.66 %,2.36 %,-,2.30 %,0.0070 %,-,2.30 %,1.0%(10년초과 0.5%),적립,비유니버셜,월납,CM,2024-04-01,"1. 보험기간: 5,10년만기 2. 가입연령: 만19 ~ 최고60세 3. 해약환급금 예시 기준: 40세, 10년만기, 전기납, 월납보험료 30만원, 적용이율 2.30% 기준",1588-3131
DB생명,(무)e로운 DB저축보험(2404),5.0,"18,000,000 원","18,693,218 원",103.85 %,"18,693,218 원","18,693,686 원",103.85 %,"18,693,686 원",0.48 %,3.85 %,5.04 %,-,2.30 %,0.0080 %,-,2.30 %,1.0%(10년초과 0.5%),적립,비유니버셜,월납,CM,2024-04-01,"1. 보험기간: 5,10년만기 2. 가입연령: 만19 ~ 최고60세 3. 해약환급금 예시 기준: 40세, 10년만기, 전기납, 월납보험료 30만원, 적용이율 2.30% 기준",1588-3131
DB생명,(무)e로운 DB저축보험(2404),7.0,"25,200,000 원","26,766,308 원",106.22 %,"26,766,308 원","26,767,044 원",106.22 %,"26,767,044 원",1.42 %,6.22 %,7.93 %,-,2.30 %,0.0087 %,-,2.30 %,1.0%(10년초과 0.5%),적립,비유니버셜,월납,CM,2024-04-01,"1. 보험기간: 5,10년만기 2. 가입연령: 만19 ~ 최고60세 3. 해약환급금 예시 기준: 40세, 10년만기, 전기납, 월납보험료 30만원, 적용이율 2.30% 기준",1588-3131
DB생명,(무)e로운 DB저축보험(2404),10.0,"36,000,000 원","39,619,046 원",110.05 %,"39,619,046 원","39,620,306 원",110.06 %,"39,620,306 원",2.99 %,10.05 %,12.62 %,-,2.30 %,0.0113 %,-,2.30 %,1.0%(10년초과 0.5%),적립,비유니버셜,월납,CM,2024-04-01,"1. 보험기간: 5,10년만기 2. 가입연령: 만19 ~ 최고60세 3. 해약환급금 예시 기준: 40세, 10년만기, 전기납, 월납보험료 30만원, 적용이율 2.30% 기준",1588-3131
동양생명,(무)수호천사온라인더좋은저축보험,1.0,"3,600,000 원","3,579,699 원",99.44 %,"3,579,699 원","3,579,802 원",99.44 %,"3,579,802 원",-1.14 %,-0.56 %,-0.35 %,-,2.10 %,0.0074 %,-,2.35 %,5년이내 1.25% 5~10년 1.0% 10년초과 0.5%,적립,비유니버셜,월납,CM,2024-10-01,"1. 가입조건 : 만15세~최대70세 (월납보험료 5만원 이상) 2. 주보험 보장내용 : 사망보험금, 만기보험금 3. 기준: 기본보험료 30만원, 40세, 10년만기, 전기납 4. 보험기간 : 10년만기 / 납입기간 : 3,5,7년납, 전기납 5. 특이사항 : 위 해약환급금은 더좋은보너스 발생일(1년경과시점 , 납입기간완료시점 , 보험기간 종료시점) 에 더좋은보너스를 기본보험료 납입에 의한 계약자적립액에 가산하여 계산된 금액입니다.  ※ 사업비 중 유지관련비용의 경우 공시이율 2.35%를 기준으로 계산된 금액입니다.",1577-1004
동양생명,(무)수호천사온라인더좋은저축보험,3.0,"10,800,000 원","10,945,989 원",101.35 %,"10,945,989 원","10,946,245 원",101.35 %,"10,946,245 원",-0.10 %,1.35 %,1.83 %,-,2.34 %,0.0078 %,-,2.35 %,5년이내 1.25% 5~10년 1.0% 10년초과 0.5%,적립,비유니버셜,월납,CM,2024-10-01,"1. 가입조건 : 만15세~최대70세 (월납보험료 5만원 이상) 2. 주보험 보장내용 : 사망보험금, 만기보험금 3. 기준: 기본보험료 30만원, 40세, 10년만기, 전기납 4. 보험기간 : 10년만기 / 납입기간 : 3,5,7년납, 전기납 5. 특이사항 : 위 해약환급금은 더좋은보너스 발생일(1년경과시점 , 납입기간완료시점 , 보험기간 종료시점) 에 더좋은보너스를 기본보험료 납입에 의한 계약자적립액에 가산하여 계산된 금액입니다.  ※ 사업비 중 유지관련비용의 경우 공시이율 2.35%를 기준으로 계산된 금액입니다.",1577-1004
동양생명,(무)수호천사온라인더좋은저축보험,5.0,"18,000,000 원","18,514,592 원",102.86 %,"18,514,592 원","18,515,064 원",102.86 %,"18,515,064 원",0.89 %,2.85 %,3.69 %,-,3.19 %,0.0087 %,-,2.35 %,5년이내 1.25% 5~10년 1.0% 10년초과 0.5%,적립,비유니버셜,월납,CM,2024-10-01,"1. 가입조건 : 만15세~최대70세 (월납보험료 5만원 이상) 2. 주보험 보장내용 : 사망보험금, 만기보험금 3. 기준: 기본보험료 30만원, 40세, 10년만기, 전기납 4. 보험기간 : 10년만기 / 납입기간 : 3,5,7년납, 전기납 5. 특이사항 : 위 해약환급금은 더좋은보너스 발생일(1년경과시점 , 납입기간완료시점 , 보험기간 종료시점) 에 더좋은보너스를 기본보험료 납입에 의한 계약자적립액에 가산하여 계산된 금액입니다.  ※ 사업비 중 유지관련비용의 경우 공시이율 2.35%를 기준으로 계산된 금액입니다.",1577-1004
동양생명,(무)수호천사온라인더좋은저축보험,7.0,"25,200,000 원","26,395,178 원",104.74 %,"26,395,178 원","26,396,104 원",104.75 %,"26,396,104 원",1.22 %,4.74 %,6.09 %,-,3.73 %,0.0097 %,-,2.35 %,5년이내 1.25% 5~10년 1.0% 10년초과 0.5%,적립,비유니버셜,월납,CM,2024-10-01,"1. 가입조건 : 만15세~최대70세 (월납보험료 5만원 이상) 2. 주보험 보장내용 : 사망보험금, 만기보험금 3. 기준: 기본보험료 30만원, 40세, 10년만기, 전기납 4. 보험기간 : 10년만기 / 납입기간 : 3,5,7년납, 전기납 5. 특이사항 : 위 해약환급금은 더좋은보너스 발생일(1년경과시점 , 납입기간완료시점 , 보험기간 종료시점) 에 더좋은보너스를 기본보험료 납입에 의한 계약자적립액에 가산하여 계산된 금액입니다.  ※ 사업비 중 유지관련비용의 경우 공시이율 2.35%를 기준으로 계산된 금액입니다.",1577-1004
동양생명,(무)수호천사온라인더좋은저축보험,10.0,"36,000,000 원","39,427,122 원",109.52 %,"39,427,122 원","39,429,024 원",109.53 %,"39,429,024 원",3.26 %,9.51 %,11.66 %,-,3.63 %,0.0115 %,-,2.35 %,5년이내 1.25% 5~10년 1.0% 10년초과 0.5%,적립,비유니버셜,월납,CM,2024-10-01,"1. 가입조건 : 만15세~최대70세 (월납보험료 5만원 이상) 2. 주보험 보장내용 : 사망보험금, 만기보험금 3. 기준: 기본보험료 30만원, 40세, 10년만기, 전기납 4. 보험기간 : 10년만기 / 납입기간 : 3,5,7년납, 전기납 5. 특이사항 : 위 해약환급금은 더좋은보너스 발생일(1년경과시점 , 납입기간완료시점 , 보험기간 종료시점) 에 더좋은보너스를 기본보험료 납입에 의한 계약자적립액에 가산하여 계산된 금액입니다.  ※ 사업비 중 유지관련비용의 경우 공시이율 2.35%를 기준으로 계산된 금액입니다.",1577-1004
신한라이프생명,신한SOL쏠한처음저축보험(무배당),1.0,"1,200,000 원","1,208,184 원",100.68 %,"1,208,184 원","1,208,192 원",100.68 %,"1,208,192 원",-,-,-,0.68 %,0.92 %,0.0060 %,3.00 %,-,-,적립,비유니버셜,월납,CM,2025-09-01,"해지환급금 예시기준:40세, 1년만기, 월납, 기본보험료 10만원  - 예상수익률, 사업비(비용) 및 위험보험료(위험보장)는 남자가입 기준으로 작성됨 예상수익률 및 사업비 예시기준: 남자 40세, 1년만기, 월납, 기본보험료 10만원 보험기간: 1년 만기 가입나이: 만 19세~60세",1588-5580
신한라이프생명,신한The안심VIP저축보험Ⅲ(무배당),1.0,"50,000,000 원","50,591,360 원",101.18 %,"50,591,360 원","50,594,901 원",101.19 %,"50,594,901 원",-,-,-,1.18 %,2.01 %,0.0133 %,3.25 %,-,-,거치,비유니버셜,일시납,대면채널  방카슈랑스,2025-09-01,"해지환급금 예시기준:55세, 5년만기, 일시납, 기본보험료 5천만원  - 상기 예시된 해약환급금은 유지보너스가 포함되어 있음  - 예상수익률, 사업비(비용) 및 위험보험료(위험보장)는 남자가입 기준으로 작성됨 예상수익률 및 사업비 예시기준: 남자 55세, 5년만기, 일시납, 기본보험료 5천만원 보험기간: 3년, 5년 만기 가입나이: 만15세~80세",1588-5580
신한라이프생명,신한The안심VIP저축보험Ⅲ(무배당),3.0,"50,000,000 원","53,434,420 원",106.87 %,"53,434,420 원","53,446,427 원",106.89 %,"53,446,427 원",-,-,-,6.86 %,2.94 %,0.0432 %,3.25 %,-,-,거치,비유니버셜,일시납,대면채널  방카슈랑스,2025-09-01,"해지환급금 예시기준:55세, 5년만기, 일시납, 기본보험료 5천만원  - 상기 예시된 해약환급금은 유지보너스가 포함되어 있음  - 예상수익률, 사업비(비용) 및 위험보험료(위험보장)는 남자가입 기준으로 작성됨 예상수익률 및 사업비 예시기준: 남자 55세, 5년만기, 일시납, 기본보험료 5천만원 보험기간: 3년, 5년 만기 가입나이: 만15세~80세",1588-5580
신한라이프생명,신한The안심VIP저축보험Ⅲ(무배당),5.0,"50,000,000 원","57,310,700 원",114.62 %,"57,310,700 원","57,333,642 원",114.67 %,"57,333,642 원",-,-,-,14.62 %,3.59 %,0.0788 %,3.25 %,-,-,거치,비유니버셜,일시납,대면채널  방카슈랑스,2025-09-01,"해지환급금 예시기준:55세, 5년만기, 일시납, 기본보험료 5천만원  - 상기 예시된 해약환급금은 유지보너스가 포함되어 있음  - 예상수익률, 사업비(비용) 및 위험보험료(위험보장)는 남자가입 기준으로 작성됨 예상수익률 및 사업비 예시기준: 남자 55세, 5년만기, 일시납, 기본보험료 5천만원 보험기간: 3년, 5년 만기 가입나이: 만15세~80세",1588-5580
처브라이프생명,Chubb 플러스알파저축보험2506 무배당,1.0,"100,000,000 원","100,264,583 원",100.26 %,"100,264,583 원","100,266,204 원",100.27 %,"100,266,204 원",-,-,-,2.90 %,2.58 %,0.0041 %,2.9% %,-,-,거치,비유니버셜,일시납,방카슈랑스,2025-06-23,"1. 가입나이 : 만15세 ~ 80세 2. 보험기간 : 5년 3. 납입기간 : 일시납 4. 가입한도 : 500만원 이상 10억원 이하 5. 주계약 보험료 및 해약환급금 예시 : 40세, 5년만기, 일시납, 기본보험료(일시납보험료) 1억원 (가입금액 1,000만원) 6. 주계약 지급기준  - 만기보험금 : 보험기간이 끝날 때까지 생존시, 보험기간 종료일의 계약자적립액  - 재해로 인한 사망보험금 : 보험기간 중 피보험자가 재해로 인하여 사망시, 기본보험료(일시납보험료)의 10% + 사망시점의 계약자적립액 + 사망시점의 유지보너스발생적립액  - 재해 이외의 원인으로 인한 사망보험금 : 보험기간 중 피보험자가 재해 이외의 원인으로 인하여 사망시, 기본보험료(일시납보험료)의 5% + 사망시점의 계약자적립액 + 사망시점의 유지보너스발생적립액",02-1599-4600
처브라이프생명,Chubb 플러스알파저축보험2506 무배당,3.0,"100,000,000 원","105,779,944 원",105.78 %,"105,779,944 원","105,785,430 원",105.79 %,"105,785,430 원",-,-,-,2.90 %,2.93 %,0.0129 %,2.9% %,-,-,거치,비유니버셜,일시납,방카슈랑스,2025-06-23,"1. 가입나이 : 만15세 ~ 80세 2. 보험기간 : 5년 3. 납입기간 : 일시납 4. 가입한도 : 500만원 이상 10억원 이하 5. 주계약 보험료 및 해약환급금 예시 : 40세, 5년만기, 일시납, 기본보험료(일시납보험료) 1억원 (가입금액 1,000만원) 6. 주계약 지급기준  - 만기보험금 : 보험기간이 끝날 때까지 생존시, 보험기간 종료일의 계약자적립액  - 재해로 인한 사망보험금 : 보험기간 중 피보험자가 재해로 인하여 사망시, 기본보험료(일시납보험료)의 10% + 사망시점의 계약자적립액 + 사망시점의 유지보너스발생적립액  - 재해 이외의 원인으로 인한 사망보험금 : 보험기간 중 피보험자가 재해 이외의 원인으로 인하여 사망시, 기본보험료(일시납보험료)의 5% + 사망시점의 계약자적립액 + 사망시점의 유지보너스발생적립액",02-1599-4600
처브라이프생명,Chubb 플러스알파저축보험2506 무배당,5.0,"100,000,000 원","115,956,701 원",115.96 %,"115,956,701 원","115,967,082 원",115.97 %,"115,967,082 원",-,-,-,2.90 %,2.97 %,0.0229 %,2.9% %,-,-,거치,비유니버셜,일시납,방카슈랑스,2025-06-23,"1. 가입나이 : 만15세 ~ 80세 2. 보험기간 : 5년 3. 납입기간 : 일시납 4. 가입한도 : 500만원 이상 10억원 이하 5. 주계약 보험료 및 해약환급금 예시 : 40세, 5년만기, 일시납, 기본보험료(일시납보험료) 1억원 (가입금액 1,000만원) 6. 주계약 지급기준  - 만기보험금 : 보험기간이 끝날 때까지 생존시, 보험기간 종료일의 계약자적립액  - 재해로 인한 사망보험금 : 보험기간 중 피보험자가 재해로 인하여 사망시, 기본보험료(일시납보험료)의 10% + 사망시점의 계약자적립액 + 사망시점의 유지보너스발생적립액  - 재해 이외의 원인으로 인한 사망보험금 : 보험기간 중 피보험자가 재해 이외의 원인으로 인하여 사망시, 기본보험료(일시납보험료)의 5% + 사망시점의 계약자적립액 + 사망시점의 유지보너스발생적립액",02-1599-4600
BNP파리바카디프생명,(무) 뉴 플러스자산관리 저축보험,1.0,"50,000,000 원","50,288,782 원",100.58 %,"49,990,539 원","50,294,455 원",100.59 %,"49,996,178 원",0.01 %,0.57 %,0.26 %,-,2.42 %,0.0216 %,-,3.07 %,"2.5%(1~3년), 0.5%(4~10년)",거치,비유니버셜,일시납,방카슈랑스,2025-06-30,"1. 해약환급금 및 예상수익률 예시 기준: 55세, 기본보험료 5천만원, 10년만기, 일시납, 가입시점의 공시이율 연복리 3.07% 가정 2. 가입나이 : 만15세~ 80세 3. 보험기간 : 10년 4. 이율 확정기간 : 보험가입시점의 공시이율을 이율확정기간(3년)동안 보장하여 드립니다. 5. 보험료 납입기간: 일시납 6. 기본보험료: 1천만원 이상 7. 보험기간 중 해지 시 시장조정계수(MCF)가 적용(계약자적립액X시장조정계수)되어 보험가입시점의 공시이율보다 해지시점의 공시이율이 높다면 해약환급금이 감소합니다.  다만, 시장조정계수(MCF)가 80%미만인 경우는 80%를 최저한도로 하여 계산합니다. 8. 유지보너스 지급 : 보험계약일로부터 3년 시점의 계약해당일에 기본보험료의 1% 적립",1688-1118
BNP파리바카디프생명,(무) 뉴 플러스자산관리 저축보험,3.0,"50,000,000 원","53,444,368 원",106.89 %,"53,444,368 원","53,463,944 원",106.93 %,"53,463,944 원",5.12 %,6.88 %,5.89 %,-,3.29 %,0.0706 %,-,3.07 %,"2.5%(1~3년), 0.5%(4~10년)",거치,비유니버셜,일시납,방카슈랑스,2025-06-30,"1. 해약환급금 및 예상수익률 예시 기준: 55세, 기본보험료 5천만원, 10년만기, 일시납, 가입시점의 공시이율 연복리 3.07% 가정 2. 가입나이 : 만15세~ 80세 3. 보험기간 : 10년 4. 이율 확정기간 : 보험가입시점의 공시이율을 이율확정기간(3년)동안 보장하여 드립니다. 5. 보험료 납입기간: 일시납 6. 기본보험료: 1천만원 이상 7. 보험기간 중 해지 시 시장조정계수(MCF)가 적용(계약자적립액X시장조정계수)되어 보험가입시점의 공시이율보다 해지시점의 공시이율이 높다면 해약환급금이 감소합니다.  다만, 시장조정계수(MCF)가 80%미만인 경우는 80%를 최저한도로 하여 계산합니다. 8. 유지보너스 지급 : 보험계약일로부터 3년 시점의 계약해당일에 기본보험료의 1% 적립",1688-1118
BNP파리바카디프생명,(무) 뉴 플러스자산관리 저축보험,5.0,"50,000,000 원","56,436,253 원",112.87 %,"56,436,253 원","56,474,312 원",112.95 %,"56,474,312 원",5.52 %,12.87 %,11.12 %,-,3.89 %,0.1294 %,-,3.07 %,"2.5%(1~3년), 0.5%(4~10년)",거치,비유니버셜,일시납,방카슈랑스,2025-06-30,"1. 해약환급금 및 예상수익률 예시 기준: 55세, 기본보험료 5천만원, 10년만기, 일시납, 가입시점의 공시이율 연복리 3.07% 가정 2. 가입나이 : 만15세~ 80세 3. 보험기간 : 10년 4. 이율 확정기간 : 보험가입시점의 공시이율을 이율확정기간(3년)동안 보장하여 드립니다. 5. 보험료 납입기간: 일시납 6. 기본보험료: 1천만원 이상 7. 보험기간 중 해지 시 시장조정계수(MCF)가 적용(계약자적립액X시장조정계수)되어 보험가입시점의 공시이율보다 해지시점의 공시이율이 높다면 해약환급금이 감소합니다.  다만, 시장조정계수(MCF)가 80%미만인 경우는 80%를 최저한도로 하여 계산합니다. 8. 유지보너스 지급 : 보험계약일로부터 3년 시점의 계약해당일에 기본보험료의 1% 적립",1688-1118
BNP파리바카디프생명,(무) 뉴 플러스자산관리 저축보험,7.0,"50,000,000 원","59,608,223 원",119.22 %,"59,608,223 원","59,670,559 원",119.34 %,"59,670,559 원",5.90 %,19.21 %,16.63 %,-,4.49 %,0.2006 %,-,3.07 %,"2.5%(1~3년), 0.5%(4~10년)",거치,비유니버셜,일시납,방카슈랑스,2025-06-30,"1. 해약환급금 및 예상수익률 예시 기준: 55세, 기본보험료 5천만원, 10년만기, 일시납, 가입시점의 공시이율 연복리 3.07% 가정 2. 가입나이 : 만15세~ 80세 3. 보험기간 : 10년 4. 이율 확정기간 : 보험가입시점의 공시이율을 이율확정기간(3년)동안 보장하여 드립니다. 5. 보험료 납입기간: 일시납 6. 기본보험료: 1천만원 이상 7. 보험기간 중 해지 시 시장조정계수(MCF)가 적용(계약자적립액X시장조정계수)되어 보험가입시점의 공시이율보다 해지시점의 공시이율이 높다면 해약환급금이 감소합니다.  다만, 시장조정계수(MCF)가 80%미만인 경우는 80%를 최저한도로 하여 계산합니다. 8. 유지보너스 지급 : 보험계약일로부터 3년 시점의 계약해당일에 기본보험료의 1% 적립",1688-1118
